Бюджет 2025,https://youtu.be/V1sqGJyrI98?si=vHdFLQ8h2CsNJzjv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,январь,,,февраль,,,март,,,апрель,,,май,,,июнь,,,июль,,,август,,,сентябрь,,,октябрь,,,ноябрь,,,декабрь,,,итого,,
источник доходов,план,факт,отклонение,план,факт,отклонение,план,факт,отклонение,план,факт,отклонение,план,факт,отклонение,план,факт,отклонение,план,факт,отклонение,план,факт,отклонение,план,факт,отклонение,план,факт,отклонение,план,факт,отклонение,план,факт,отклонение,план,факт,отклонение
зарплата,500 000,300 000,-200 000,500 000,300 000,-200 000,500 000,300 000,-200 000,300 000,300 000,0,300 000,300 000,0,500 000,500 000,0,500 000,500 000,0,500 000,500 000,0,500 000,500 000,0,500 000,500 000,0,,500 000,500 000,,800 000,800 000,4 600 000,5 300 000,700 000
консалтинг,,61 774,61 774,,-90 468,-90 468,,-61 390,-61 390,,6 000,6 000,,,0,,,0,,0,0,100 000,91 240,-8 760,200 000,0,-200 000,200 000,150 000,-50 000,,0,0,,0,0,500 000,ёё,#VALUE!
прочее,,25 000,25 000,,20 000,20 000,,148 000,148 000,100 000,100 000,0,100 000,120 000,20 000,100 000,100 000,0,100 000,375 000,275 000,100 000,100 000,0,100 000,100 000,0,100 000,100 000,0,,420 000,420 000,,0,0,700 000,1 608 000,908 000
подарки,,,0,,,0,,50 000,50 000,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,,0,0,,0,0,0,50 000,50 000
дивидеднды,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,77 626,77 626,80 000,69 000,-11 000,90 000,98 000,8 000,,106 731,106 731,,9 000,9 000,170 000,360 357,190 357
ИТОГО,500 000,386 774,-113 226,500 000,229 532,-270 468,500 000,436 610,-63 390,400 000,406 000,6 000,400 000,420 000,20 000,600 000,600 000,0,600 000,875 000,275 000,700 000,768 866,68 866,880 000,669 000,-211 000,890 000,848 000,-42 000,0,1 026 731,1 026 731,0,809 000,809 000,5 970 000,7 318 357,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДЕЛЬТА,500 000,-2 282,-502 282,500 000,-201 213,-701 213,500 000,-44 025,-544 025,36 000,-48 721,-84 721,36 000,-61 371,-97 371,101 000,-46 374,-147 374,182 880,321 833,138 953,128 880,-51 562,-180 442,340 880,247 299,-93 581,779 880,234 900,-544 980,0,245 128,245 128,0,94 636,94 636,3 105 520,531 092,
Общая таблица учета и планирования расходов на год,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,январь,,,февраль,,,март,,,апрель,,,май,,,июнь,,,июль,,,август,,,сентябрь,,,октябрь,,,ноябрь,,,декабрь,,,итого,,
статья расходов,план,факт,отклонение,план,факт,отклонение,план,факт,отклонение,план,факт,отклонение,план,факт,отклонение,план,факт,отклонение,план,факт,отклонение,план,факт,отклонение,план,факт,отклонение,план,факт,отклонение,план,факт,отклонение,план,факт,отклонение,план,факт,отклонение
Жизнь,,185 577,185 577,,214 312,214 312,,263 772,263 772,189 000,207 541,18 541,189 000,243 049,54 049,293 000,462 705,169 705,257 000,236 025,-20 975,260 000,326 514,66 514,328 000,220 718,-107 282,0,310 274,310 274,0,423 577,423 577,0,364 025,364 025,1 516 000,3 458 089,1 942 089
ПРОДУКТЫ,,18 260,18 260,,25 816,25 816,,34 863,34 863,30 000,23 928,-6 072,30 000,55 732,25 732,30 000,27 009,-2 991,30 000,66 000,36 000,50 000,65 958,15 958,60 000,16 721,-43 279,,39 120,39 120,,44 135,44 135,,40 000,40 000,230 000,457 542,227 542
ДЕТИ,,31 300,31 300,,66 620,66 620,,42 350,42 350,30 000,25 200,-4 800,30 000,57 750,27 750,36 000,39 664,3 664,36 000,30 043,-5 957,30 000,31 500,1 500,50 000,62 400,12 400,,40 500,40 500,,46 500,46 500,,43 000,43 000,212 000,516 827,304 827
Джулиан,,12 343,12 343,,15 061,15 061,,26 647,26 647,6 000,10 142,4 142,6 000,5 170,-830,7 000,5 870,-1 130,7 000,5 853,-1 147,5 000,23 190,18 190,3 000,2 170,-830,,18 956,18 956,,2 170,2 170,,17 000,17 000,34 000,144 572,110 572
Ланочка,,0,0,,0,0,,33 450,33 450,50 000,70 900,20 900,50 000,32 725,-17 275,100 000,234 600,134 600,100 000,72 523,-27 477,100 000,156 925,56 925,150 000,93 782,-56 218,,142 000,142 000,,273 227,273 227,,145 600,145 600,550 000,1 255 732,705 732
Образование развитие,,1 059,1 059,,0,0,,0,0,5 000,1 500,-3 500,5 000,0,-5 000,10 000,0,-10 000,10 000,1 306,-8 694,0,1 185,1 185,0,0,0,,5 000,5 000,,0,0,,0,0,30 000,10 050,-19 950
" РЕСТОРАН ,КАФЕ",,60 415,60 415,,61 440,61 440,,83 611,83 611,50 000,72 581,22 581,50 000,72 160,22 160,75 000,106 358,31 358,50 000,51 800,1 800,50 000,38 056,-11 944,50 000,21 301,-28 699,,31 631,31 631,,34 131,34 131,,100 000,100 000,325 000,733 484,408 484
"ОДЕЖДА,ОБУВЬ",,56 000,56 000,,23 595,23 595,,3 851,3 851,10 000,831,-9 169,10 000,14 849,4 849,26 000,38 745,12 745,15 000,0,-15 000,15 000,6 300,-8 700,10 000,4 900,-5 100,,11 000,11 000,,16 025,16 025,,4 500,4 500,86 000,180 596,94 596
Гаджет подписки,,0,0,,0,0,,0,0,3 000,2 459,-541,3 000,4 663,1 663,4 000,3 954,-46,4 000,4 989,989,5 000,3 400,-1 600,5 000,14 624,9 624,,6 909,6 909,,7 389,7 389,,13 925,13 925,24 000,62 312,38 312
ПОДАРКИ,,6 200,6 200,,21 780,21 780,,39 000,39 000,5 000,0,-5 000,5 000,0,-5 000,5 000,6 505,1 505,5 000,3 511,-1 489,5 000,0,-5 000,0,4 820,4 820,,15 158,15 158,,0,0,,0,0,25 000,96 974,71 974
ДОМ,0,41 650,41 650,0,100 285,100 285,0,41 874,41 874,36 000,129 046,93 046,36 000,68 435,32 435,61 500,60 749,-751,55 500,51 500,-4 000,63 000,60 185,-2 815,56 000,50 500,-5 500,0,7 050,7 050,0,82 000,82 000,0,78 616,78 616,308 000,771 890,463 890
Аренда,,41 650,41 650,,55 900,55 900,,38 825,38 825,30 000,30 000,0,30 000,50 650,20 650,53 000,52 500,-500,52 500,50 000,-2 500,50 000,51 700,1 700,53 000,50 500,-2 500,,0,0,,82 000,82 000,,78 616,78 616,268 500,582 341,313 841
"Быт.товары,техника",,0,0,,44 385,44 385,,3 049,3 049,,96 046,96 046,,14 785,14 785,4 000,4 949,949,0,0,0,10 000,5 485,-4 515,0,0,0,,7 050,7 050,,,0,,0,0,14 000,175 749,161 749
Услуги,,,0,,,0,,,0,6 000,3 000,-3 000,6 000,3 000,-3 000,4 500,3 300,-1 200,3 000,1 500,-1 500,3 000,3 000,0,3 000,0,-3 000,,0,0,,,0,,0,0,25 500,13 800,-11 700
ТРАНСПОРТ,0,20 000,20 000,0,15 730,15 730,0,18 083,18 083,20 000,39 600,19 600,20 000,13 268,-6 732,23 000,28 049,5 049,21 000,18 315,-2 685,27 000,16 467,-10 533,20 000,11 579,-8 421,0,11 208,11 208,0,8 142,8 142,0,11 000,11 000,131 000,211 441,80 441
Такси,,20 000,20 000,,15 730,15 730,,18 083,18 083,20 000,39 600,19 600,20 000,13 169,-6 831,22 000,27 113,5 113,20 000,10 188,-9 812,20 000,16 467,-3 533,20 000,11 579,-8 421,,10 808,10 808,,8 142,8 142,,11 000,11 000,122 000,201 879,79 879
Авто,,0,0,,0,0,,0,0,,,0,,,0,0,0,0,0,7 887,7 887,7 000,0,-7 000,0,0,0,,0,0,,0,0,,0,0,7 000,7 887,887
Общ транспорт,,0,0,,0,0,,0,0,,,0,,99,99,1 000,936,-64,1 000,240,-760,0,0,0,0,0,0,,400,400,,0,0,,0,0,2 000,1 675,-325
РАЗВЛЕЧЕНИЯ,0,5 059,5 059,0,14 700,14 700,0,4 360,4 360,10 000,4 675,-5 325,10 000,9 800,-200,5 000,3 560,-1 440,5 000,11 000,6 000,15 000,23 098,8 098,5 000,2 080,-2 920,0,2 300,2 300,0,2 660,2 660,0,0,0,50 000,83 292,33 292
"Кино,театр,музеи",,3 020,3 020,,,0,,,0,5 000,,-5 000,5 000,4 800,-200,5 000,600,-4 400,5 000,0,-5 000,5 000,6 350,1 350,5 000,0,-5 000,,0,0,,0,0,,0,0,30 000,14 770,-15 230
Концерты,,,0,,14 700,14 700,,4 360,4 360,5 000,1 100,-3 900,5 000,5 000,0,0,2 000,2 000,0,9 000,9 000,0,7 000,7 000,0,0,0,,0,0,,0,0,,0,0,10 000,43 160,33 160
"Клубы, алкоголь",,2 039,2 039,,,0,,,0,0,3 575,3 575,,0,0,0,960,960,0,2 000,2 000,10 000,9 748,-252,0,2 080,2 080,,2 300,2 300,,2 660,2 660,,0,0,10 000,25 362,15 362
Здоровье,0,81 730,81 730,0,38 245,38 245,0,92 036,92 036,25 000,15 734,-9 266,25 000,68 202,43 202,26 500,29 391,2 891,26 500,18 361,-8 139,19 000,27 718,8 718,43 000,40 704,-2 296,0,130 121,130 121,0,25 972,25 972,0,131 723,131 723,165 000,699 937,534 937
Спорт,,53 460,53 460,,0,0,,70 415,70 415,,,0,,2 700,2 700,10 000,1 950,-8 050,5 000,3 200,-1 800,8 000,9 750,1 750,10 000,3 000,-7 000,,2 088,2 088,,6 745,6 745,,23 500,23 500,33 000,176 808,143 808
Релакс,,1 300,1 300,,3 100,3 100,,5 395,5 395,5 000,,-5 000,5 000,2 000,-3 000,3 000,3 000,0,3 000,0,-3 000,0,0,0,0,0,0,,0,0,,3 000,3 000,,0,0,16 000,17 795,1 795
Гигиена/Красота,,21 850,21 850,,6 000,6 000,,0,0,5 000,1 435,-3 565,5 000,5 700,700,3 500,11 390,7 890,3 500,6 727,3 227,5 000,5 700,700,25 000,0,-25 000,,0,0,,3 800,3 800,,9 500,9 500,47 000,72 102,25 102
Медицинские услуги,,5 120,5 120,,0,0,,16 226,16 226,5 000,5 000,0,5 000,42 817,37 817,5 000,9 780,4 780,5 000,0,-5 000,6 000,6 000,0,3 000,23 530,20 530,,47 655,47 655,,10 740,10 740,,26 323,26 323,29 000,193 191,164 191
Медикаменты Аптека,,,0,,29 145,29 145,,,0,10 000,9 299,-701,10 000,14 985,4 985,5 000,3 271,-1 729,10 000,8 434,-1 566,0,6 268,6 268,5 000,14 174,9 174,,2 378,2 378,,1 687,1 687,,72 400,72 400,40 000,162 041,122 041
Страховка Альфа,,,0,,,0,,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,78 000,78 000,,0,0,,0,0,0,78 000,78 000
Страховка жизни,,,0,,,0,,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0
ПУТЕШЕСТВИЯ,0,41 430,41 430,0,13 800,13 800,0,45 410,45 410,34 000,41 980,7 980,34 000,29 900,-4 100,0,21 300,21 300,0,172 212,172 212,100 000,276 100,176 100,0,0,0,0,42 027,42 027,0,120 401,120 401,0,103 000,103 000,168 000,907 560,739 560
Авиа/ржд,,41 430,41 430,,13 800,13 800,,45 410,45 410,,7 980,7 980,,0,0,0,11 800,11 800,,84 212,84 212,,13 600,13 600,0,0,0,,42 027,42 027,,74 181,74 181,,36 000,36 000,0,370 440,370 440
Отели,,,0,,,0,,,0,34 000,34 000,0,34 000,29 900,-4 100,0,9 500,9 500,,88 000,88 000,100 000,262 500,162 500,0,0,0,,0,0,,46 220,46 220,,67 000,67 000,168 000,537 120,369 120
Сбережения/обязательства,0,13 610,13 610,0,33 673,33 673,0,15 100,15 100,50 000,16 145,-33 855,50 000,48 717,-1 283,90 000,40 620,-49 380,52 120,45 754,-6 366,87 120,90 346,3 226,87 120,96 120,9 000,110 120,110 120,0,0,118 851,118 851,0,26 000,26 000,526 480,655 056,128 576
Портфель Детей,,11 110,11 110,,11 110,11 110,,11 100,11 100,50 000,16 145,-33 855,50 000,13 217,-36 783,50 000,12 120,-37 880,12 120,12 120,0,12 120,12 120,0,12 120,12 120,0,12 120,12 120,0,,12 120,12 120,,12 000,12 000,198 480,147 402,-51 078
Пенсионный план,,,0,,22 000,22 000,,2 500,2 500,,,0,,0,0,40 000,0,-40 000,40 000,2 214,-37 786,75 000,76 626,1 626,75 000,69 000,-6 000,98 000,98 000,0,,106 731,106 731,,9 000,9 000,328 000,386 071,58 071
РАСХОД НА БИЗНЕС,,,0,,,0,,,0,,,0,0,35 500,35 500,0,28 500,28 500,0,31 420,31 420,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,95 420,95 420
Налоги штрафы  комиссии,,2 500,2 500,,563,563,,1 500,1 500,,,0,,0,0,0,,0,0,0,0,0,1 600,1 600,0,15 000,15 000,,0,0,,0,0,,5 000,5 000,0,26 163,26 163
ИТОГО,0,389 056,389 056,0,430 745,430 745,0,480 635,480 635,364 000,454 721,90 721,364 000,481 371,117 371,499 000,646 374,147 374,417 120,553 167,136 047,571 120,820 428,249 308,539 120,421 701,-117 419,110 120,613 100,502 980,0,781 603,781 603,0,714 364,714 364,2 864 480,6 787 265,3 922 785
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,продукты,дети,Джулиан,Ланочка,образ,ресторан,одежда, подписки связь,подарки,аренда,быт товар\ гаджет,услуги,такси, авто,общ тран,кино театр,концерт ,клуб алкоголь,спорт,релакс,гигиена,Мед услуги,аптека,авиа/ржд,отели,Порт Детей,пенсия,Расход бизнес,налоги штрафы,,,,,,,,,,
Валюта,,,419510,,,,,,,,,,,,,,,,,,,,,,,,,,,,700 000,Зубы,1 000 000,,,,,,
Альфа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131 490,ПД,2 500 000,,,,,,
Сбер,,,140 000,,,,,,,,,,,,,,,,4 000,,,4 000,,1 000,,,,,,,,Италия,1 000 000,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Переезд,500 000,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Обучение,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Итого,0,0,559 510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 000,0,0,4 000,0,1 000,0,0,0,0,0,568 510,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,январь,февраль,март,,,,,,,,,,,Подписки,месяц,год,,,,,,,,,,,,,,,,,,,,,,,
РАСХОД,432 937,762 112,630 315,,,,,,,,,,,ВПН,300,,,,,,,,,,,,,,,,,,1,,,,,,
ДОХОД,700 000,715 139,700 000,,,,,,,,,,,Алиса,400,,,,,,,,,,,,,,,,,,2,,,,,,
ДЕЛЬТА,267 063,(46 973),69 685,0,0,0,0,,,,,,,Сбер прайм,400,,,,,,,,,,,571,19,,,,,,3,,,,,,
,,,,,,,,,,,,,,ICloud,600,,,,,,,,,,,407,,,,,,,4,,,,,,
Движение актив,,,,,,,,,,,,,,Gpt,2000,,,,,,,,,,,480,,,,,,,,,,,,,
Лана,100000,100000,100000,,,,,,,,,,,Клод,2000,,,,,,,,,,,609,,,,,,,,,,,,,
Дети,12120,12120,12120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Портфель,9000,15139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Телега,,2400,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Медиатопиа,,1000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Альфа,,5000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,транскрип,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://youtu.be/V1sqGJyrI98?si=vHdFLQ8h2CsNJzjv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Доходы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
зарплата,60 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
консалтинг,50 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
прочее,15 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
подарки,200 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
дивидеднды,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Общий расход за месяц,70 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Регулярные расходы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
продукты,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
рестораны\кафе\фастфуд,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Аренда,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Екатерина,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Влад,150 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ланочка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Джулиан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Одежда\обувь\аксесуары,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Подписки,20 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Такси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Кино,театр,музеи,концерт",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Алкоголь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Образование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Спорт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Релакс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Гигиена/Красота,15 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Медицинские услуги,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БАДы\Аптека,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Путешествия,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Прочее,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Крупные траты,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Екатерина,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Влад,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ланочка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Джулиан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Здоровье,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02.02.2023,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7
Гаджеты\техника,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Образование,14 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДВИЖЕНИЕ АКТИВОВ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Портфель Екатирины,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Портфель Влада,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Портфель Ланы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Пенсионный план,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Инвестиции в консалтинг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,